"age","degree","familiarity","confidence","redistribution","gender_female","gender_male","gender_other","field_of_study_econ","field_of_study_engineer","field_of_study_law","field_of_study_med","field_of_study_na","field_of_study_natural","field_of_study_other","field_of_study_other_social","field_of_study_politics","field_of_study_psych","employment_full","employment_no","employment_part","self_x","self_y","self_z_mis","other_x","other_y","other_z_mis","trust"
21,2,3,3,3,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,870,870,1010,140,520,0,1
21,2,3,3,3,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,450,210,590,1020,720,880,1
21,2,3,3,3,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,780,420,920,540,660,400,1
21,2,3,3,3,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,940,800,1080,150,510,10,1
21,2,3,3,3,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,400,260,540,690,1050,550,1
21,2,3,3,3,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,990,750,1130,480,180,340,1
21,2,3,3,3,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,910,830,1050,140,520,0,1
21,2,3,3,3,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,720,480,860,750,450,610,1
21,2,3,3,3,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,600,600,740,410,790,270,1
21,2,3,3,3,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,640,560,780,410,790,270,1
21,2,3,3,3,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,370,290,510,680,1060,540,1
21,2,3,3,3,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1050,690,1190,270,390,130,1
21,2,3,3,3,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,330,330,470,680,1060,540,1
21,2,3,3,3,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,670,530,810,420,780,280,1
21,2,3,3,3,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,510,150,650,810,930,670,1
54,3,1,1,3,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,720,480,860,750,450,610,0
54,3,1,1,3,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,670,530,810,420,780,280,1
54,3,1,1,3,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,370,290,510,680,1060,540,1
54,3,1,1,3,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,600,600,740,410,790,270,1
54,3,1,1,3,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,400,260,540,690,1050,550,1
54,3,1,1,3,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,780,420,920,540,660,400,1
54,3,1,1,3,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,910,830,1050,140,520,0,0
54,3,1,1,3,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,870,870,1010,140,520,0,1
54,3,1,1,3,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,990,750,1130,480,180,340,0
54,3,1,1,3,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,940,800,1080,150,510,10,1
