"age","degree","familiarity","confidence","redistribution","gender_female","gender_male","gender_other","field_of_study_econ","field_of_study_engineer","field_of_study_law","field_of_study_med","field_of_study_na","field_of_study_natural","field_of_study_other","field_of_study_other_social","field_of_study_politics","field_of_study_psych","employment_full","employment_no","employment_part","self_x","self_y","self_z_wel","other_x","other_y","other_z_wel","trust"
21,2,3,3,3,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,620,580,440,410,790,930,0
21,2,3,3,3,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1060,680,540,330,330,470,0
21,2,3,3,3,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,790,410,270,600,600,740,0
21,2,3,3,3,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,710,490,350,440,760,900,0
21,2,3,3,3,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,390,270,130,1050,690,830,1
21,2,3,3,3,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,660,540,400,780,420,560,0
21,2,3,3,3,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,890,850,710,140,520,660,0
21,2,3,3,3,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,740,460,320,460,740,880,0
21,2,3,3,3,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1010,730,590,190,470,610,0
21,2,3,3,3,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,980,760,620,170,490,630,0
21,2,3,3,3,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,470,190,50,730,1010,1150,0
21,2,3,3,3,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,350,310,170,680,1060,1200,0
21,2,3,3,3,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,440,220,80,710,1030,1170,0
21,2,3,3,3,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,520,140,0,870,870,1010,0
21,2,3,3,3,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,930,810,670,510,150,290,1
54,3,1,1,3,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,620,580,440,410,790,930,0
54,3,1,1,3,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,440,220,80,710,1030,1170,0
54,3,1,1,3,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,390,270,130,1050,690,830,1
54,3,1,1,3,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1010,730,590,190,470,610,0
54,3,1,1,3,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,740,460,320,460,740,880,0
54,3,1,1,3,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,520,140,0,870,870,1010,1
54,3,1,1,3,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,660,540,400,780,420,560,1
54,3,1,1,3,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,890,850,710,140,520,660,0
54,3,1,1,3,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,790,410,270,600,600,740,1
54,3,1,1,3,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,350,310,170,680,1060,1200,0
54,3,1,1,3,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,710,490,350,440,760,900,0
54,3,1,1,3,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1060,680,540,330,330,470,0
54,3,1,1,3,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,930,810,670,510,150,290,1
54,3,1,1,3,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,470,190,50,730,1010,1150,0
54,3,1,1,3,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,980,760,620,170,490,630,0
46,2,3,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,940,800,660,150,510,650,0
46,2,3,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,400,260,120,690,1050,1190,1
46,2,3,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,720,480,340,750,450,590,1
46,2,3,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,600,600,460,410,790,930,1
46,2,3,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,510,150,10,810,930,1070,1
46,2,3,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,780,420,280,540,660,800,1
46,2,3,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,640,560,420,410,790,930,1
46,2,3,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,870,870,730,140,520,660,0
46,2,3,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,910,830,690,140,520,660,0
46,2,3,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,990,750,610,480,180,320,1
46,2,3,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,370,290,150,680,1060,1200,1
46,2,3,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1050,690,550,270,390,530,0
46,2,3,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,450,210,70,1020,720,860,1
46,2,3,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,330,330,190,680,1060,1200,1
46,2,3,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,670,530,390,420,780,920,1
34,2,2,3,2,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,780,420,280,540,660,800,0
34,2,2,3,2,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,450,210,70,1020,720,860,1
34,2,2,3,2,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,600,600,460,410,790,930,0
34,2,2,3,2,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,400,260,120,690,1050,1190,0
34,2,2,3,2,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,370,290,150,680,1060,1200,0
34,2,2,3,2,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,510,150,10,810,930,1070,0
34,2,2,3,2,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,670,530,390,420,780,920,0
34,2,2,3,2,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,940,800,660,150,510,650,0
34,2,2,3,2,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,910,830,690,140,520,660,0
34,2,2,3,2,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,640,560,420,410,790,930,0
34,2,2,3,2,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,330,330,190,680,1060,1200,0
34,2,2,3,2,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,870,870,730,140,520,660,0
34,2,2,3,2,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,720,480,340,750,450,590,1
34,2,2,3,2,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,990,750,610,480,180,320,1
34,2,2,3,2,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1050,690,550,270,390,530,0
32,2,0,2,4,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1050,690,550,270,390,530,0
32,2,0,2,4,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,990,750,610,480,180,320,0
32,2,0,2,4,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,510,150,10,810,930,1070,0
32,2,0,2,4,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,940,800,660,150,510,650,0
32,2,0,2,4,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,450,210,70,1020,720,860,1
32,2,0,2,4,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,910,830,690,140,520,660,0
32,2,0,2,4,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,370,290,150,680,1060,1200,0
